"Kode","Objek","KPKNL","Tahun Lelang","Kat. Lokasi (Semester II 2025)","Kat. Lokasi (Semester I 2026)","Merek","Tipe","Tahun Pembuatan","Warna"
"012JFI","Motor","KPKNL Pangkal Pinang","2025","3","3","Yamaha","Scorpio Z","2006","Perak"
"01EEHC","Motor","KPKNL Palangkaraya","2023","3","3","Viar","VR","2012","Hitam"
"01ERG5","Motor","KPKNL Jakarta III","2023","2","2","Honda","NF 100 SLD","2006","-"
"01JFWU","Motor","KPKNL Palopo","2023","3","3","Suzuki","Smash 110cc","2009","Silver Hitam"
"01RTY2","Mobil","KPKNL Balikpapan","2022","3","3","Mitsubishi","Kuda VA1W GLS","2004","Merah Metalik"
"01S7NO","Mobil","KPKNL Jakarta IV","2025","2","2","Toyota","Innova V A/T","2006","Biru Metalik"
"02ACKT","Motor","KPKNL Padang","2023","3","3","Honda","F1","2013","Hitam"
"02FHVM","Mobil","KPKNL Padang","2023","3","3","Toyota","Avanza G","2015","Biru"
"02V7JA","Mobil","KPKNL Jakarta I","2025","2","2","Toyota","Avanza 1298 cc","2009","Hitam Metalik"
"02WUMI","Mobil","KPKNL Jakarta II","2023","2","2","Toyota","Kijang KF80 Long","1999","Biru Metalik"
"02XXYG","Mobil","KPKNL Kupang","2025","3","3","Daihatsu","S91","2009","Biru"
"03BNCV","Motor","KPKNL Manado","2024","3","3","Yamaha","5D9 (Vega RR)","2014","Biru"
"03NBIF","Mobil","KPKNL Tangerang II","2025","4","2","Ford","Ranger Double Cabin XLS 2.2L (4x4) MT Plus","2015","Putih"
"03REZP","Motor","KPKNL Pangkalan Bun","2022","3","3","Honda","MCB","2004","Hitam"
"03ZGVL","Motor","KPKNL Pematang Siantar","2023","3","3","Suzuki","FK 110","2008","Biru Hitam"
"04RGQO","Mobil","KPKNL Yogyakarta","2024","3","4","Toyota","Avanza 1300 G","2010","Hitam Metalik"
"04WQA6","Motor","KPKNL Ternate","2025","3","3","Suzuki","Axelo FL 125 RCD1","2014","Hijau Putih"
"04YBZR","Mobil","KPKNL Kendari","2025","3","3","Toyota","Fortuner 2.5G M/T 2494CC","2014","Silver Metalik"
"05BSSI","Mobil","KPKNL Bandar Lampung","2025","3","3","Suzuki","APV DLX-GC415V","2007","Putih"
"05CH8U","Motor","KPKNL Pangkal Pinang","2025","3","3","Honda","Mega Pro GL 160 D","2007","Biru"
"05ENIG","Motor","KPKNL Denpasar","2023","3","3","Honda","GL II","1997","Hitam"
"05ITPO","Mobil","KPKNL Kendari","2023","3","3","Toyota","COROLA ALTIS 1.8 J MT","2008","Hitam Metalik"
"05JSPX","Motor","KPKNL Parepare","2025","3","3","Yamaha","Vixion 3C1 (V-IXION)","2012","Hitam"
"05NJYB","Motor","KPKNL Palopo","2025","3","3","Yamaha","YT 115 Trail","1999","Jingga"
"05WRY3","Motor","KPKNL Purwokerto","2024","3","1","Honda","Win MCB","2002","Hitam"
"05X3CM","Motor","KPKNL Yogyakarta","2022","3","4","Suzuki","TRS","1994","Hitam"
"06BZSH","Motor","KPKNL Ternate","2023","3","3","Yamaha","Jupiter Z","2014","Putih"
"06DAJP","Mobil","KPKNL Makassar","2025","3","3","Mercedes","BENZ","2004","Hitam Tua Metalik"
"06HLEB","Motor","KPKNL Medan","2022","1","2","Yamaha","Mio Soul GT","2015","Biru"
"06N4WX","Motor","KPKNL Mamuju","2024","3","3","Honda","New Mega Pro Tipe GL15A1D M/T DC 5045","2011","Merah Abu- Abu"
"06NXYQ","Motor","KPKNL Bogor","2024","4","2","Honda","Beat 110 cc","2019","Biru Hitam"
"06PXVR","Mobil","KPKNL Purwokerto","2025","3","1","Mitsubishi","L300","1998","Biru"
"06QBQA","Motor","KPKNL Bandung","2024","2","2","Suzuki","FL 125 RCD","2009","Biru"
"06S4NA","Mobil","KPKNL Padang","2026","3","3","Isuzu","Panther","2007","BIRU TUA MET"
"06SQ8J","Motor","KPKNL Bengkulu","2024","3","3","Honda","GL Max","1997","Stone Grey"
