Kode,Objek,Objek_Enc,KPKNL,Wilayah,Wilayah_Enc,Merek_Std,Merek_Enc,Tipe,Tahun_Pembuatan,Tahun_Lelang,Usia_Saat_Lelang,Faktor_Depresiasi,Warna_Std,Warna_Enc,Kat_Lokasi,Harga_Numeric
01RTY2,Mobil,1,KPKNL Balikpapan,Kalimantan,2,Mitsubishi,16,Kuda VA1W GLS,2004,2022,18,0.05,Merah,6,3,35000000.0
01S7NO,Mobil,1,KPKNL Jakarta IV,Jawa,1,Toyota,20,Innova V A/T,2006,2025,19,0.05,Biru,0,2,54379000.0
02FHVM,Mobil,1,KPKNL Padang,Sumatera,6,Toyota,20,Avanza G,2015,2023,8,0.1678,Biru,0,3,78999999.0
02V7JA,Mobil,1,KPKNL Jakarta I,Jawa,1,Toyota,20,Avanza 1298 cc,2009,2025,16,0.05,Hitam,3,2,52914380.0
02WUMI,Mobil,1,KPKNL Jakarta II,Jawa,1,Toyota,20,Kijang KF80 Long,1999,2023,24,0.05,Biru,0,2,27199999.0
02XXYG,Mobil,1,KPKNL Kupang,Bali-NTT-NTB,0,Daihatsu,3,S91,2009,2025,16,0.05,Biru,0,3,5894000.0
03NBIF,Mobil,1,KPKNL Tangerang II,Jawa,1,Ford,5,Ranger Double Cabin XLS 2.2L (4x4) MT Plus,2015,2025,10,0.1074,Putih,8,2,132212000.0
04RGQO,Mobil,1,KPKNL Yogyakarta,Jawa,1,Toyota,20,Avanza 1300 G,2010,2024,14,0.05,Hitam,3,4,76000000.0
04YBZR,Mobil,1,KPKNL Kendari,Sulawesi,5,Toyota,20,Fortuner 2.5G M/T 2494CC,2014,2025,11,0.0859,Silver/Abu-abu,9,3,170000000.0
05BSSI,Mobil,1,KPKNL Bandar Lampung,Sumatera,6,Suzuki,18,APV DLX-GC415V,2007,2025,18,0.05,Putih,8,3,22736000.0
05ITPO,Mobil,1,KPKNL Kendari,Sulawesi,5,Toyota,20,COROLA ALTIS 1.8 J MT,2008,2023,15,0.05,Hitam,3,3,57100000.0
06DAJP,Mobil,1,KPKNL Makassar,Sulawesi,5,Mercedes,15,BENZ,2004,2025,21,0.05,Hitam,3,3,55410000.0
06PXVR,Mobil,1,KPKNL Purwokerto,Jawa,1,Mitsubishi,16,L300,1998,2025,27,0.05,Biru,0,1,28543000.0
06S4NA,Mobil,1,KPKNL Padang,Sumatera,6,Isuzu,9,Panther,2007,2026,19,0.05,Biru,0,3,80432000.0
06ZCP2,Mobil,1,KPKNL Palopo,Sulawesi,5,Mitsubishi,16,T 120 SS,2000,2022,22,0.05,Hijau,2,3,18001000.0
07GVXC,Mobil,1,KPKNL Jakarta III,Jawa,1,Isuzu,9,Elf NHR 55 CO E2-1,2011,2025,14,0.05,Hitam,3,2,92850000.0
07JMXG,Mobil,1,KPKNL Samarinda,Kalimantan,2,Suzuki,18,Futura ST150,2008,2023,15,0.05,Hitam,3,3,30607000.0
07JQAC,Mobil,1,KPKNL Bandung,Jawa,1,Kia,12,New Pregio,2005,2023,18,0.05,Biru,0,2,37999999.0
07U1TJ,Mobil,1,KPKNL Palangkaraya,Kalimantan,2,Mitsubishi,16,Fuso FM517HJ,2001,2025,24,0.05,Kuning,4,3,74049000.0
08ATOP,Mobil,1,KPKNL Surabaya,Jawa,1,Toyota,20,Kijang Innova G M/T,2011,2025,14,0.05,Silver/Abu-abu,9,2,95067000.0
08LPVD,Mobil,1,KPKNL Serang,Jawa,1,Toyota,20,Innova G,2005,2022,17,0.05,Lainnya,5,3,66199999.0
08MG3J,Mobil,1,KPKNL Palu,Sulawesi,5,Toyota,20,Innova G,2007,2022,15,0.05,Lainnya,5,3,73999999.0
09BZKN,Mobil,1,KPKNL Palu,Sulawesi,5,Toyota,20,Avanza 1.3 E M/T,2014,2024,10,0.1074,Hitam,3,3,32584000.0
09FONY,Mobil,1,KPKNL Bima,Lainnya,3,Toyota,20,Avanza G,2008,2024,16,0.05,Merah,6,3,50500000.0
09RG2Z,Mobil,1,KPKNL Pontianak,Kalimantan,2,Nissan,17,Evalia,2013,2023,10,0.1074,Silver/Abu-abu,9,3,48235000.0
09XSPE,Mobil,1,KPKNL Yogyakarta,Jawa,1,Toyota,20,KF 40,1993,2025,32,0.05,Hijau,2,4,11008000.0
0ARIPC,Mobil,1,KPKNL Malang,Jawa,1,Suzuki,18,Carry Futura,2001,2025,24,0.05,Biru,0,2,12810000.0
0AW4EM,Mobil,1,KPKNL Surabaya,Jawa,1,Isuzu,9,TBR54F TURBO LV,2009,2024,15,0.05,Hitam,3,2,78080000.0
0AYLOC,Mobil,1,KPKNL Palangkaraya,Kalimantan,2,Mitsubishi,16,Colt L 300 pick up box,1994,2023,29,0.05,Putih,8,3,11111119.0
0B8DBK,Mobil,1,KPKNL Sidoarjo,Lainnya,3,Mercedes,15,Unimog,1987,2022,35,0.05,Hijau,2,2,23950000.0
0BLWSE,Mobil,1,KPKNL Bontang,Lainnya,3,Toyota,20,Kijang UF81 Super,2002,2024,22,0.05,Lainnya,5,3,25436000.0
0BN7RL,Mobil,1,KPKNL Semarang,Jawa,1,Toyota,20,New Avanza,2011,2023,12,0.0687,Hitam,3,2,68250988.0
0BRTND,Mobil,1,KPKNL Medan,Sumatera,6,Lainnya,13,U 1300 L,1982,2022,40,0.05,Lainnya,5,2,82850000.0
0BSNLV,Mobil,1,KPKNL Jayapura,Papua-Maluku,4,Nissan,17,Evalia,2013,2025,12,0.0687,Putih,8,3,46224000.0
0BUIJT,Mobil,1,KPKNL Jakarta III,Jawa,1,Chevrolet,2,Captiva 2.4L LT MT,2011,2023,12,0.0687,Hitam,3,2,57120181.0
0C6LRH,Mobil,1,KPKNL Parepare,Sulawesi,5,Toyota,20,Rush,2007,2022,15,0.05,Hitam,3,3,62799999.0
0C8KDU,Mobil,1,KPKNL Madiun,Jawa,1,Toyota,20,Avanza 1500 S,2008,2025,17,0.05,Silver/Abu-abu,9,3,75500000.0
0CIVOA,Mobil,1,KPKNL Ambon,Papua-Maluku,4,Toyota,20,Rush 1.5S,2011,2026,15,0.05,Hitam,3,3,35000000.0
0CKADL,Mobil,1,KPKNL Palangkaraya,Kalimantan,2,Hino,6,WU352R HAMTJD8,2018,2022,4,0.4096,Hijau,2,3,128900000.0
0CN9NI,Mobil,1,KPKNL Semarang,Jawa,1,Toyota,20,Innova G,2005,2025,20,0.05,Hitam,3,2,75256800.0
0COKOM,Mobil,1,KPKNL Dumai,Lainnya,3,Mitsubishi,16,STRADA CR 2.5 A DC GLS MT,2010,2023,13,0.055,Lainnya,5,3,39884000.0
0CSKGN,Mobil,1,KPKNL Lhokseumawe,Lainnya,3,Toyota,20,Rush,2022,2025,3,0.512,Putih,8,3,153636000.0
0DA8MV,Mobil,1,KPKNL Jakarta II,Jawa,1,Daihatsu,3,Mobil Barang,2010,2024,14,0.05,Putih,8,2,43722000.0
0DERJR,Mobil,1,KPKNL Banda Aceh,Sumatera,6,Toyota,20,Innova E,2006,2026,20,0.05,Hitam,3,3,44228117.0
0DHV3F,Mobil,1,KPKNL Jakarta II,Jawa,1,Ford,5,Ecosport 1.5L,2014,2023,9,0.1342,Hitam,3,2,93100000.0
0DLMUM,Mobil,1,KPKNL Jakarta II,Jawa,1,Fiat,4,Punto,2009,2024,15,0.05,Putih,8,2,46351000.0
